canonical_name,canonical_address,overlay_space,overlay_offset_hex,overlay_name,match_kind
caseD_21,1000:0000,ram,0,FUN_0000_0000,exact
FUN_1000_002c,1000:002c,ram,2c,FUN_0000_002c,exact
FUN_1000_0062,1000:0062,ram,62,FUN_0000_0062,exact
FUN_1009_0004,1009:0004,ram,94,FUN_0000_0094,exact
FUN_1009_0036,1009:0036,ram,c6,FUN_0000_00c6,exact
FUN_1009_00b4,1009:00b4,ram,144,FUN_0000_0144,exact
FUN_1009_017e,1009:017e,ram,20e,FUN_0000_020e,exact
FUN_1009_01a2,1009:01a2,ram,232,FUN_0000_0232,exact
FUN_1009_01b8,1009:01b8,ram,248,,gap
FUN_1009_01d8,1009:01d8,ram,268,FUN_0000_0268,exact
FUN_1009_01fc,1009:01fc,ram,28c,FUN_0000_028c,exact
FUN_1009_0222,1009:0222,ram,2b2,FUN_0000_02b2,exact
FUN_1009_0244,1009:0244,ram,2d4,FUN_0000_02d4,exact
FUN_1009_0270,1009:0270,ram,300,FUN_0000_0300,exact
FUN_1009_02ae,1009:02ae,ram,33e,FUN_0000_033e,exact
FUN_1009_02cc,1009:02cc,ram,35c,FUN_0000_035c,exact
FUN_1009_0402,1009:0402,ram,492,FUN_0000_0492,exact
FUN_1009_0420,1009:0420,ram,4b0,FUN_0000_04b0,exact
FUN_104b_0010,104b:0010,ram,4c0,FUN_0000_04c0,exact
FUN_104b_0032,104b:0032,ram,4e2,,gap
FUN_104b_0042,104b:0042,ram,4f2,FUN_0000_04f2,exact
FUN_104b_0052,104b:0052,ram,502,FUN_0000_0502,exact
FUN_104b_0062,104b:0062,ram,512,FUN_0000_0512,exact
FUN_104b_0072,104b:0072,ram,522,FUN_0000_0522,exact
FUN_104b_0082,104b:0082,ram,532,FUN_0000_0532,exact
FUN_104b_0092,104b:0092,ram,542,FUN_0000_0542,exact
FUN_104b_00a2,104b:00a2,ram,552,FUN_0000_0552,exact
FUN_104b_00b2,104b:00b2,ram,562,FUN_0000_0562,exact
FUN_104b_00c2,104b:00c2,ram,572,FUN_0000_0572,exact
FUN_104b_00d2,104b:00d2,ram,582,FUN_0000_0582,exact
FUN_104b_00e2,104b:00e2,ram,592,FUN_0000_0592,exact
FUN_104b_00fc,104b:00fc,ram,5ac,FUN_0000_05ac,exact
FUN_104b_012e,104b:012e,ram,5de,FUN_0000_05de,exact
FUN_104b_0156,104b:0156,ram,606,,gap
FUN_104b_01be,104b:01be,ram,66e,FUN_0000_066e,exact
